year,state,State CPI
2007,OR,3.5130822942743953
2008,OR,3.886179411972459
2009,OR,2.5962729122658645
2010,OR,2.1760837009752936
2011,OR,3.942143377960125
2012,OR,2.580904362233332
2013,OR,1.1772182534202351
2014,OR,2.2543435034368366
2015,OR,1.3202352176316328
2016,OR,1.6462636890044378
2017,OR,3.2314848003493313
1978,PA,5.967261883029449
1979,PA,8.482322644798636
1980,PA,9.892467562789884
1981,PA,7.980886261042138
1982,PA,4.789073719024728
1983,PA,3.1239135597681624
1984,PA,2.3146865531483884
1985,PA,0.1661994695759312
1986,PA,2.120850846950628
1989,PA,4.322340773580452
1990,PA,4.030437400731156
1991,PA,3.093661053982217
1992,PA,2.585053768
1993,PA,2.0585781702256156
1994,PA,2.1857675126179417
1995,PA,2.174464282001963
1996,PA,2.1868844959491884
1997,PA,1.843078749568704
1998,PA,0.7668114619117794
1999,PA,1.4910530190101587
2000,PA,2.9287592952097823
2001,PA,2.917751280828307
2002,PA,1.372880983648545
2003,PA,2.2547313003447633
2004,PA,2.9139947015560335
2005,PA,2.8277093453888167
2006,PA,2.7438554063228917
2007,PA,3.1432987175449156
2008,PA,4.680787131193448
2009,PA,1.0
2010,PA,1.7255825124977606
2011,PA,3.0495407244353343
2012,PA,1.8814115109841425
2013,PA,1.6870232861820276
2014,PA,0.7990056586467641
2015,PA,0.8276342244226388
2016,PA,0.9131649862230514
2017,PA,1.334091764176691
1989,SC,3.6816396154789457
1990,SC,5.1669943940931455
1991,SC,4.560655958992896
1992,SC,1.8070088654944416
1993,SC,2.7645619721858106
1994,SC,2.448141474729358
1995,SC,2.526853118415702
1996,SC,1.0575684228999174
1997,SC,0.6961510813667304
1998,SC,0.9812570621023085
1999,SC,2.0263385593638232
2000,SC,3.1290888392076504
2001,SC,2.7406780443965584
2002,SC,1.8250001987897464
2003,SC,2.3302559089930237
2004,SC,1.402184644154002
2005,SC,2.819264041664197
2006,SC,3.183380493955018
2007,SC,4.6489036028722515
2008,SC,2.12995893
2009,SC,0.5849415376193683
2010,SC,2.582192263686369
2011,SC,2.791787857978657
2012,SC,1.5894928271385325
2013,SC,1.0
2014,SC,0.4452738871477301
2015,SC,1.3776195408425242
2016,SC,1.0
2017,SC,2.0307164615789604
1978,TN,0.8598393928269049
1979,TN,6.5937367586107625
1980,TN,10.820853305867626
1981,TN,11.990379226303874
1982,TN,7.026715453193886
1983,TN,3.0365327638155017
1984,TN,2.5188872607089294
1985,TN,1.234378125240981
1986,TN,1.0
1989,TN,3.742079742770694
1990,TN,3.6512664721056582
1991,TN,2.270698733
1992,TN,2.036722902015275
1993,TN,2.5331284140225634
1994,TN,2.407490458295959
1995,TN,2.4439194133247297
1996,TN,2.428904869886137
1997,TN,2.320692963356813
1998,TN,3.469540129061866
1999,TN,1.7167493772355358
2000,TN,3.6858856979638346
2001,TN,1.8993817939648672
2002,TN,1.5220319000699996
2003,TN,2.7143913106586006
